entity_id,profile_id,ticket_id,name,npi,provider_type_code
"1001","1001","1001","My Private Practice","1111111112","05"
"1002","1002","1002","My Private Practice","1111111112","06"
"1003","1003","1003","My Private Practice","1111111112","07"
"1004","1004","1004","My Private Practice","1111111112","08"
"1005","1005","1005","My Private Practice","1111111112","08"
"1006","1006","1006","My Private Practice","1111111112","10"
"1007","1007","1007","My Private Practice","1111111112","11"
"1008","1008","1008","My Private Practice","1111111112","11"
"1009","1009","1009","My Private Practice","1111111112","11"
"1010","1010","1010","My Private Practice","1111111112","14"
"1011","1011","1011","My Private Practice","1111111112","14"
"1012","1012","1012","My Private Practice","1111111112","16"
"1013","1013","1013","My Private Practice","1111111112","16"
"1014","1014","1014","My Private Practice","1111111112","17"
